﻿任务ID,任务名称,下一个任务ID,任务图标,任务坐标,目标数量,镜头偏移,任务消耗,任务奖励
138,获得：木板（0/50),139,二级木,,50,false,,
139,升级：锯木厂,140,锯木厂,,1,false,"[{"money":500,"crown":1}]","[{"star":175}]"
140,升级：木头仓库,141,木头仓库,,1,false,"[{"money":500,"ore":50}]","[{"star":175}]"
141,赚取钞票,142,取钱处,,1,false,,
142,升级：防具,143,防具升级,,1,false,,
143,升级枪兵,144,枪兵,,1,false,"[{"money":500}]",
144,征服城堡,145,征服城堡,,1,false,,
145,研究：披萨价值,146,披萨价值,,1,false,,
146,升级：防具,147,防具升级,,1,false,,
147,获得：铁锭（0/50),148,二级矿,,50,false,,
148,升级：粉碎机,149,矿机,,1,false,"[{"money":500,"ore2":10}]","[{"star":175}]"
149,升级：矿石仓库,150,矿石仓库,,1,false,"[{"money":500,"crown":1}]","[{"star":190}]"
150,赚取钞票,151,取钱处,,1,false,,
151,升级刀兵,152,刀兵,,1,false,"[{"money":500}]",
152,征服城堡,153,征服城堡,,1,false,,
153,研究：巨熊猎人攻击,154,砍熊机器人攻击,,1,false,,
154,赚取钞票,155,取钱处,,1,false,,
155,升级盾兵,156,盾兵,,1,false,"[{"money":500}]",
156,征服城堡,157,征服城堡,,1,false,,
157,研究：巨虎猎人攻击,158,砍虎机器人攻击,,1,false,,
158,赚取钞票,159,取钱处,,1,false,,
159,升级枪兵,160,枪兵,,1,false,"[{"money":500}]",
160,征服城堡,161,征服城堡,,1,false,,
161,研究：猛犸猎人攻击,162,砍象机器人攻击,,1,false,,
162,升级：熊肉仓库,163,熊肉仓库,,1,false,"[{"money":500,"crown":1}]","[{"star":190}]"
163,赚取钞票,164,取钱处,,1,false,,
164,升级刀兵,165,刀兵,,1,false,"[{"money":500}]",
165,征服城堡,166,征服城堡,,1,false,,
166,研究：熊肉价值,167,熊肉价值,,1,false,,
167,升级：武器,168,武器升级,,1,false,,
168,升级：虎肉仓库,169,虎肉仓库,,1,false,"[{"money":500,"crown":1}]","[{"star":190}]"
169,升级：烤肉机,170,烤肉机器,,1,false,"[{"money":500,"ore2":10}]","[{"star":190}]"
170,升级：烤肉收银台,171,烤肉收银台,,1,false,"[{"money":500,"wood2":10}]","[{"star":190}]"
171,赚取钞票,172,取钱处,,1,false,,
172,升级：防具,173,防具升级,,1,false,,
173,升级盾兵,174,盾兵,,1,false,"[{"money":500}]",
174,征服城堡,175,征服城堡,,1,false,,
175,研究：虎肉价值,176,虎肉价值,,1,false,,
176,升级：火腿片仓库,177,火腿仓库,,1,false,"[{"money":500,"wood":50}]","[{"star":190}]"
177,升级：火腿切片器,178,切片机器,,1,false,"[{"money":500,"crown":1}]","[{"star":210}]"
178,升级：披萨窑炉,179,披萨窑炉,,1,false,"[{"money":500,"ore2":10}]","[{"star":210}]"
179,赚取钞票,180,取钱处,,1,false,,
180,升级：武器,181,武器升级,,1,false,,
181,升级枪兵,182,枪兵,,1,false,"[{"money":500}]",
182,征服城堡,183,征服城堡,,1,false,,
183,研究：烤肉价值,184,烤肉价值,,1,false,,
184,获得：木板（0/50),185,二级木,,50,false,,
185,升级：锯木厂,186,锯木厂,,1,false,"[{"money":500,"wood2":10}]","[{"star":210}]"
186,升级：木头仓库,187,木头仓库,,1,false,"[{"money":500,"crown":1}]","[{"star":210}]"
187,赚取钞票,188,取钱处,,1,false,,
188,升级：防具,189,防具升级,,1,false,,
189,升级刀兵,190,刀兵,,1,false,"[{"money":500}]",
190,征服城堡,191,征服城堡,,1,false,,
191,研究：披萨价值,192,披萨价值,,1,false,,
192,升级：防具,193,防具升级,,1,false,,
193,获得：铁锭（0/50),194,二级矿,,50,false,,
194,升级：粉碎机,195,矿机,,1,false,"[{"money":500,"crown":1}]","[{"star":210}]"
195,升级：矿石仓库,196,矿石仓库,,1,false,"[{"money":500,"ore2":10}]","[{"star":210}]"
196,赚取钞票,197,取钱处,,1,false,,
197,升级盾兵,198,盾兵,,1,false,"[{"money":500}]",
198,征服城堡,199,征服城堡,,1,false,,
199,研究：巨熊猎人移速,200,砍熊机器人,,1,false,,
200,赚取钞票,201,取钱处,,1,false,,
201,升级枪兵,202,枪兵,,1,false,"[{"money":500}]",
202,征服城堡,203,征服城堡,,1,false,,
203,研究：巨虎猎人移速,204,砍虎机器人,,1,false,,
204,赚取钞票,205,取钱处,,1,false,,
205,升级刀兵,206,刀兵,,1,false,"[{"money":500}]",
206,征服城堡,207,征服城堡,,1,false,,
207,研究：猛犸猎人移速,208,砍象机器人,,1,false,,
208,赚取钞票,209,取钱处,,1,false,,
209,升级盾兵,210,盾兵,,1,false,"[{"money":500}]",
210,征服城堡,211,征服城堡,,1,false,,
211,研究：熊肉价值,212,熊肉价值,,1,false,,
212,升级：武器,213,武器升级,,1,false,,
213,赚取钞票,214,取钱处,,1,false,,
214,升级：防具,215,防具升级,,1,false,,
215,升级枪兵,216,枪兵,,1,false,"[{"money":500}]",
216,征服城堡,217,征服城堡,,1,false,,
217,研究：虎肉价值,218,虎肉价值,,1,false,,
218,赚取钞票,219,取钱处,,1,false,,
219,升级：武器,220,武器升级,,1,false,,
220,升级刀兵,221,刀兵,,1,false,"[{"money":500}]",
221,征服城堡,222,征服城堡,,1,false,,
222,研究：烤肉价值,223,烤肉价值,,1,false,,
223,赚取钞票,224,取钱处,,1,false,,
224,升级：防具,225,防具升级,,1,false,,
225,升级盾兵,226,盾兵,,1,false,"[{"money":500}]",
226,征服城堡,227,征服城堡,,1,false,,
227,研究：披萨价值,228,披萨价值,,1,false,,
228,升级：防具,229,防具升级,,1,false,,
229,赚取钞票,230,取钱处,,1,false,,
230,升级枪兵,231,枪兵,,1,false,"[{"money":500}]",
231,征服城堡,232,征服城堡,,1,false,,
232,研究：巨熊猎人攻击,233,砍熊机器人攻击,,1,false,,
233,赚取钞票,234,取钱处,,1,false,,
234,升级刀兵,235,刀兵,,1,false,"[{"money":500}]",
235,征服城堡,236,征服城堡,,1,false,,
236,研究：巨虎猎人攻击,237,砍虎机器人攻击,,1,false,,
237,赚取钞票,238,取钱处,,1,false,,
238,升级盾兵,239,盾兵,,1,false,"[{"money":500}]",
239,征服城堡,240,征服城堡,,1,false,,
240,研究：猛犸猎人攻击,241,砍象机器人攻击,,1,false,,
241,赚取钞票,242,取钱处,,1,false,,
242,升级枪兵,243,枪兵,,1,false,"[{"money":500}]",
243,征服城堡,244,征服城堡,,1,false,,
244,研究：熊肉价值,245,熊肉价值,,1,false,,
245,升级：武器,246,武器升级,,1,false,,
246,赚取钞票,247,取钱处,,1,false,,
247,升级：防具,248,防具升级,,1,false,,
248,升级刀兵,249,刀兵,,1,false,"[{"money":500}]",
249,征服城堡,250,征服城堡,,1,false,,
250,研究：虎肉价值,251,虎肉价值,,1,false,,
251,赚取钞票,252,取钱处,,1,false,,
252,升级：武器,253,武器升级,,1,false,,
253,升级盾兵,254,盾兵,,1,false,"[{"money":500}]",
254,征服城堡,255,征服城堡,,1,false,,
255,研究：烤肉价值,256,烤肉价值,,1,false,,
256,赚取钞票,257,取钱处,,1,false,,
257,升级：防具,258,防具升级,,1,false,,
258,升级枪兵,259,枪兵,,1,false,"[{"money":500}]",
259,征服城堡,260,征服城堡,,1,false,,
260,研究：披萨价值,261,披萨价值,,1,false,,
261,升级：防具,262,防具升级,,1,false,,
262,赚取钞票,263,取钱处,,1,false,,
263,征服城堡,264,征服城堡,,1,false,,
264,研究：巨熊猎人移速,265,砍熊机器人,,1,false,,
265,赚取钞票,266,取钱处,,1,false,,
266,升级刀兵,267,刀兵,,1,false,"[{"money":500}]",
267,征服城堡,268,征服城堡,,1,false,,
268,研究：巨虎猎人移速,269,砍虎机器人,,1,false,,
269,赚取钞票,270,取钱处,,1,false,,
270,升级盾兵,271,盾兵,,1,false,"[{"money":500}]",
271,征服城堡,272,征服城堡,,1,false,,
272,研究：猛犸猎人移速,273,砍象机器人,,1,false,,
273,赚取钞票,274,取钱处,,1,false,,
274,升级枪兵,275,枪兵,,1,false,"[{"money":500}]",
275,征服城堡,276,征服城堡,,1,false,,
276,研究：熊肉价值,277,熊肉价值,,1,false,,
277,升级：武器,278,武器升级,,1,false,,
278,赚取钞票,279,取钱处,,1,false,,
279,升级：防具,280,防具升级,,1,false,,
280,升级刀兵,281,刀兵,,1,false,"[{"money":500}]",
281,征服城堡,282,征服城堡,,1,false,,
282,研究：虎肉价值,283,虎肉价值,,1,false,,
283,赚取钞票,284,取钱处,,1,false,,
284,升级：武器,285,武器升级,,1,false,,
285,升级盾兵,286,盾兵,,1,false,"[{"money":500}]",
286,征服城堡,287,征服城堡,,1,false,,
287,研究：烤肉价值,288,烤肉价值,,1,false,,
288,赚取钞票,289,取钱处,,1,false,,
289,升级：防具,290,防具升级,,1,false,,
290,升级枪兵,291,枪兵,,1,false,"[{"money":500}]",
291,征服城堡,292,征服城堡,,1,false,,
292,研究：披萨价值,293,披萨价值,,1,false,,
293,升级：防具,294,防具升级,,1,false,,
294,赚取钞票,295,取钱处,,1,false,,
295,升级刀兵,296,刀兵,,1,false,"[{"money":500}]",
296,征服城堡,297,征服城堡,,1,false,,
297,研究：巨熊猎人攻击,298,砍熊机器人攻击,,1,false,,
298,赚取钞票,299,取钱处,,1,false,,
299,升级盾兵,300,盾兵,,1,false,"[{"money":500}]",
300,征服城堡,301,征服城堡,,1,false,,
301,研究：巨虎猎人攻击,302,砍虎机器人攻击,,1,false,,
302,赚取钞票,303,取钱处,,1,false,,
303,升级枪兵,304,枪兵,,1,false,"[{"money":500}]",
304,征服城堡,305,征服城堡,,1,false,,
305,研究：猛犸猎人攻击,306,砍象机器人攻击,,1,false,,
306,赚取钞票,307,取钱处,,1,false,,
307,升级刀兵,308,刀兵,,1,false,"[{"money":500}]",
308,征服城堡,309,征服城堡,,1,false,,
309,研究：熊肉价值,310,熊肉价值,,1,false,,
310,升级：武器,311,武器升级,,1,false,,
311,赚取钞票,312,取钱处,,1,false,,
312,升级：防具,313,防具升级,,1,false,,
313,升级盾兵,314,盾兵,,1,false,"[{"money":500}]",
314,征服城堡,315,征服城堡,,1,false,,
315,研究：虎肉价值,316,虎肉价值,,1,false,,
316,赚取钞票,317,取钱处,,1,false,,
317,升级：武器,318,武器升级,,1,false,,
318,升级枪兵,319,枪兵,,1,false,"[{"money":500}]",
319,征服城堡,320,征服城堡,,1,false,,
320,研究：烤肉价值,321,烤肉价值,,1,false,,
321,赚取钞票,322,取钱处,,1,false,,
322,升级：防具,323,防具升级,,1,false,,
323,升级刀兵,324,刀兵,,1,false,"[{"money":500}]",
324,征服城堡,325,征服城堡,,1,false,,
325,研究：披萨价值,326,披萨价值,,1,false,,
326,升级：防具,327,防具升级,,1,false,,
327,赚取钞票,328,取钱处,,1,false,,
328,升级盾兵,329,盾兵,,1,false,"[{"money":500}]",
329,征服城堡,330,征服城堡,,1,false,,
330,研究：巨熊猎人移速,331,砍熊机器人,,1,false,,
331,赚取钞票,332,取钱处,,1,false,,
332,升级枪兵,333,枪兵,,1,false,"[{"money":500}]",
333,征服城堡,334,征服城堡,,1,false,,
334,研究：巨虎猎人移速,335,砍虎机器人,,1,false,,
335,赚取钞票,336,取钱处,,1,false,,
336,升级刀兵,337,刀兵,,1,false,"[{"money":500}]",
337,征服城堡,338,征服城堡,,1,false,,
338,研究：猛犸猎人移速,339,砍象机器人,,1,false,,
339,赚取钞票,340,取钱处,,1,false,,
340,升级盾兵,341,盾兵,,1,false,"[{"money":500}]",
341,征服城堡,342,征服城堡,,1,false,,
342,研究：熊肉价值,343,熊肉价值,,1,false,,
343,升级：武器,344,武器升级,,1,false,,
344,赚取钞票,345,取钱处,,1,false,,
345,升级：防具,346,防具升级,,1,false,,
346,升级枪兵,347,枪兵,,1,false,"[{"money":500}]",
347,征服城堡,348,征服城堡,,1,false,,
348,研究：虎肉价值,349,虎肉价值,,1,false,,
349,赚取钞票,350,取钱处,,1,false,,
350,升级：武器,351,武器升级,,1,false,,
351,升级刀兵,352,刀兵,,1,false,"[{"money":500}]",
352,征服城堡,353,征服城堡,,1,false,,
353,研究：烤肉价值,354,烤肉价值,,1,false,,
354,赚取钞票,355,取钱处,,1,false,,
355,升级：防具,356,防具升级,,1,false,,
356,升级盾兵,357,盾兵,,1,false,"[{"money":500}]",
357,征服城堡,358,征服城堡,,1,false,,
358,研究：披萨价值,359,披萨价值,,1,false,,
359,升级：防具,360,防具升级,,1,false,,
360,赚取钞票,361,取钱处,,1,false,,
361,升级枪兵,362,枪兵,,1,false,"[{"money":500}]",
362,征服城堡,363,征服城堡,,1,false,,
363,研究：巨熊猎人攻击,364,砍熊机器人攻击,,1,false,,
364,赚取钞票,365,取钱处,,1,false,,
365,升级刀兵,366,刀兵,,1,false,"[{"money":500}]",
366,征服城堡,367,征服城堡,,1,false,,
367,研究：巨虎猎人攻击,368,砍虎机器人攻击,,1,false,,
368,赚取钞票,369,取钱处,,1,false,,
369,升级盾兵,370,盾兵,,1,false,"[{"money":500}]",
370,征服城堡,371,征服城堡,,1,false,,
371,研究：猛犸猎人攻击,372,砍象机器人攻击,,1,false,,
372,赚取钞票,373,取钱处,,1,false,,
373,升级枪兵,374,枪兵,,1,false,"[{"money":500}]",
374,征服城堡,375,征服城堡,,1,false,,
375,研究：熊肉价值,376,熊肉价值,,1,false,,
376,升级：武器,377,武器升级,,1,false,,
377,赚取钞票,378,取钱处,,1,false,,
378,升级：防具,379,防具升级,,1,false,,
379,升级刀兵,380,刀兵,,1,false,"[{"money":500}]",
380,征服城堡,381,征服城堡,,1,false,,
381,研究：虎肉价值,382,虎肉价值,,1,false,,
382,赚取钞票,383,取钱处,,1,false,,
383,升级：武器,384,武器升级,,1,false,,
384,升级盾兵,385,盾兵,,1,false,"[{"money":500}]",
385,征服城堡,386,征服城堡,,1,false,,
386,研究：烤肉价值,387,烤肉价值,,1,false,,
387,赚取钞票,388,取钱处,,1,false,,
388,升级：防具,389,防具升级,,1,false,,
389,升级枪兵,390,枪兵,,1,false,"[{"money":500}]",
390,征服城堡,391,征服城堡,,1,false,,
391,研究：披萨价值,392,披萨价值,,1,false,,
392,升级：防具,393,防具升级,,1,false,,
393,赚取钞票,394,取钱处,,1,false,,
394,升级刀兵,395,刀兵,,1,false,"[{"money":500}]",
395,征服城堡,396,征服城堡,,1,false,,
396,研究：巨熊猎人移速,397,砍熊机器人,,1,false,,
397,赚取钞票,398,取钱处,,1,false,,
398,升级盾兵,399,盾兵,,1,false,"[{"money":500}]",
399,征服城堡,400,征服城堡,,1,false,,
400,研究：巨虎猎人移速,401,砍虎机器人,,1,false,,
401,赚取钞票,402,取钱处,,1,false,,
402,升级枪兵,403,枪兵,,1,false,"[{"money":500}]",
403,征服城堡,404,征服城堡,,1,false,,
404,研究：猛犸猎人移速,,砍象机器人,,1,false,,
